Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au,,IV,FV,D,BID,ln(Bid),FV 19/20,FV 20/21,2 YR AVG,PREDICTED VALUE
410,A,MERTENS,Napoli,29,6.15,7.37,9,0,0,0,0,0,7,0,2,0,0,,25,28,3,102,4.624972813,7.16,7.37,7.29994848,84
409,A,INSIGNE,Napoli,35,6.53,8.21,12,0,0,8,7,1,6,1,2,1,0,,23,36,13,82,4.406719247,6.93,8.21,7.78327629,144
1874,A,JOAO PEDRO,Cagliari,37,6.16,7.41,12,0,0,5,4,1,3,0,4,0,0,,25,27,2,67,4.204692619,7.5,7.41,7.4399481,102
2061,A,SIMEONE,Cagliari,33,5.71,6.34,6,0,0,0,0,0,1,0,1,0,0,,20,12,-8,67,4.204692619,7.01,6.34,6.56328873,1
507,A,MURIEL,Atalanta,36,6.67,8.92,20,0,0,3,2,1,8,1,0,0,0,,27,43,16,65,4.17438727,7.98,8.92,8.60660454,245
531,A,BERARDI,Sassuolo,30,6.6,8.37,10,0,0,8,7,1,6,1,4,0,0,,27,38,11,40,3.688879454,7.85,8.37,8.19660825,194
495,A,CORREA,Lazio,28,6,6.91,7,0,0,1,1,0,2,1,1,1,0,,23,20,-3,38,3.63758616,7.13,6.91,6.98328489,46
2832,A,BOGA,Sassuolo,27,5.98,6.46,4,0,0,0,0,0,1,0,0,0,0,,22,14,-8,21,3.044522438,7.21,6.46,6.70995453,12
2475,A,SANCHEZ,Inter,30,6.38,7.34,7,0,0,1,0,1,6,0,0,0,0,,24,26,2,20,2.995732274,7.5,7.34,7.3932819,96
90,A,LASAGNA,Verona,36,5.63,5.97,4,0,0,0,0,0,0,0,1,0,0,,17,8,-9,18,2.890371758,6.71,5.97,6.21662463,1
4510,A,RAFAEL LEAO,Milan,30,6.02,6.78,6,0,0,0,0,0,6,0,5,0,0,,14,20,6,12,2.48490665,6.78,6.78,6.77995254,21
123,A,INGLESE,Parma,14,5.62,5.69,0,0,0,0,0,0,2,0,2,0,0,,15,2,-13,9,2.197224577,6.34,5.69,5.90662662,1
2167,A,ORSOLINI,Bologna,34,5.97,6.74,4,0,0,3,3,0,2,1,0,0,0,,16,18,2,5,1.609437912,6.69,6.74,6.72328617,14
568,A,QUAGLIARELLA,Sampdoria,33,6.14,7.28,11,0,0,3,2,1,1,0,1,0,0,,20,25,5,38,3.63758616,7.04,7.28,7.19994912,72
2762,A,KOUAME',Fiorentina,33,5.7,5.83,1,0,0,0,0,0,1,0,4,0,0,,16,4,-12,23,3.135494216,7.44,5.83,6.36662532,1
2409,A,RIBERY,Fiorentina,29,6.12,6.4,2,0,0,0,0,0,6,0,6,1,0,,18,13,-5,20,2.995732274,6.95,6.4,6.58328835,1
2284,A,CAICEDO,Lazio,25,6.19,7.21,7,0,0,1,1,0,0,0,5,0,0,,17,18,1,11,2.397895273,6.86,7.21,7.09328298,59
247,A,PAVOLETTI,Cagliari,33,5.98,6.5,4,0,0,0,0,0,3,0,8,0,0,,15,14,-1,6,1.791759469,5.5,6.5,6.1666215,1
2163,A,CORNELIUS,Parma,29,5.66,5.83,1,0,0,0,0,0,4,0,4,0,0,,15,6,-9,3,1.098612289,7.83,5.83,6.49662519,1
1939,A,LAPADULA,Benevento,37,5.91,6.5,8,0,0,1,0,1,2,0,2,0,0,,14,15,1,2,0.693147181,7.27,6.5,6.75662091,18
4517,A,LOZANO,Napoli,32,6.31,7.34,11,0,0,0,0,0,3,0,6,0,0,,11,27,16,2,0.693147181,6.4,7.34,7.0266156,51
245,A,PANDEV,Genoa,29,6.02,6.79,6,0,0,1,1,0,3,0,5,0,0,,10,18,8,2,0.693147181,7.19,6.79,6.92328567,38
315,A,ZAZA,Torino,29,5.83,6.44,6,0,0,0,0,0,0,0,4,0,0,,13,14,1,2,0.693147181,6.54,6.44,6.47328822,1
383,A,PETAGNA,Napoli,26,6.16,7.09,4,0,0,0,0,0,3,0,0,0,0,,13,16,3,2,0.693147181,6.72,7.09,6.96661716,44
2529,C,MKHITARYAN,Roma,34,6.32,7.74,12,0,0,1,1,0,10,0,2,0,0,,24,30,6,136,4.912654886,7.59,7.74,7.68994587,51
2833,C,KULUSEVSKI,Juventus,35,6.09,6.43,4,0,0,0,0,0,3,0,7,0,0,,26,16,-10,120,4.787491743,7.43,6.43,6.76328799,39
645,C,MILINKOVIC-SAVIC,Lazio,32,6.3,7.2,8,0,0,0,0,0,7,0,4,0,0,,19,24,5,100,4.605170186,6.72,7.2,7.03994976,43
2194,C,CALHANOGLU,Milan,33,6.27,6.85,3,0,0,1,1,0,3,6,4,0,0,,24,20,-4,91,4.510859507,7.24,6.85,6.97995192,42
2085,C,LUIS ALBERTO,Lazio,34,6.31,7.03,9,0,0,0,0,0,0,0,5,0,0,,25,23,-2,88,4.477336814,7.31,7.03,7.12328403,44
4427,C,MALINOVSKYI,Atalanta,36,6.39,7.44,7,0,0,1,1,0,10,1,3,0,0,,17,27,10,76,4.33073334,6.91,7.44,7.26328143,46
2002,C,CHIESA,Juventus,32,6.45,7.43,9,0,0,0,0,0,5,0,3,1,0,,23,26,3,74,4.304065093,7.15,7.43,7.33661475,47
